Material,Target_D50,Trial,theta_hardgp_ispline,theta_hardgp_ispline_sigma,reachable,cross_type,k_star,S_AE_at_k_star,min_S_AE,margin,n_cycles,Measured_D50
Citricacid,20,1st,28.116798582998243,36.5421471417685,False,unreach,,,36.26458406911584,8.147785486117598,24,21.272009219441358
Citricacid,20,2nd,28.116798582998243,36.5421471417685,False,unreach,,,33.956528592172965,5.839730009174723,29,14.075905155711363
Citricacid,20,3rd,28.116798582998243,36.5421471417685,False,unreach,,,30.385245777751003,2.26844719475276,27,16.87195439981289
Citricacid,50,1st,162.98133689495342,36.5421471417685,True,last_cross,13.0,136.04917486421658,136.04917486421658,-26.932162030736833,14,46.069932009211314
Citricacid,50,2nd,162.98133689495342,36.5421471417685,True,earlier_cross,15.0,160.0785429536906,115.0393280158252,-47.94200887912821,17,31.445636319257012
Citricacid,50,3rd,162.98133689495342,36.5421471417685,True,earlier_cross,13.0,157.5458612958005,147.64047590765298,-15.340860987300431,15,37.32884736783548
Citricacid,100,1st,416.69654094040436,36.54214714153451,True,last_cross,7.0,362.4283409777658,362.4283409777658,-54.26819996263856,8,83.2364100795578
Citricacid,100,2nd,416.69654094040436,36.54214714153451,True,last_cross,7.0,398.2921123969994,398.2921123969994,-18.404428543404947,8,100.21029022100892
Citricacid,100,3rd,416.69654094040436,36.54214714153451,True,last_cross,7.0,396.3997998335549,396.3997998335549,-20.29674110684948,8,111.58273301475734
MSG,50,1st,376.5116327596409,105.3341547361211,True,last_cross,24.0,338.63703961662355,338.63703961662355,-37.874593143017364,25,53.10830157465986
MSG,50,2nd,376.5116327596409,105.3341547361211,True,last_cross,24.0,370.0773370472001,370.0773370472001,-6.434295712440814,25,54.937551801733015
MSG,50,3rd,376.5116327596409,105.3341547361211,True,last_cross,27.0,351.6801200310383,351.6801200310383,-24.831512728602604,28,50.079034369876375
MSG,100,1st,612.0502510158707,105.3341547361211,True,last_cross,11.0,607.0577192961571,607.0577192961571,-4.992531719713611,12,129.25126539829577
MSG,100,2nd,612.0502510158707,105.3341547361211,True,last_cross,11.0,605.4434730808151,605.4434730808151,-6.606777935055561,12,124.92381711475167
MSG,100,3rd,612.0502510158707,105.3341547361211,True,last_cross,11.0,576.8193733577356,576.8193733577356,-35.230877658135114,12,123.9249330540139
MSG,200,1st,1044.120303257943,105.3341547361211,True,last_cross,8.0,920.294605909186,920.294605909186,-123.8256973487571,9,179.5878697069383
MSG,200,2nd,1044.120303257943,105.3341547361211,True,last_cross,7.0,934.4885327213892,934.4885327213892,-109.63177053655386,8,203.29037689684492
MSG,200,3rd,1044.120303257943,105.3341547361211,True,last_cross,7.0,1041.9887066319602,1041.9887066319602,-2.1315966259828656,8,189.03287160734268
NaCl,150,1st,51.16293052516414,10.819439861434946,True,earlier_cross,16.0,50.8921718006826,46.36089741868371,-4.80203310648043,20,133.36230240096396
NaCl,150,2nd,51.16293052516414,10.819439861434946,True,earlier_cross,21.0,50.06629996376032,43.95892358010045,-7.204006945063689,24,123.80627634317088
NaCl,150,3rd,51.16293052516414,10.819439861434946,True,earlier_cross,20.0,50.274738956117055,43.90811744380238,-7.25481308136176,22,139.81226652875748
NaCl,200,1st,83.96315610264553,7.175717846876873,False,unreach,,,86.1435716372302,2.180415534584668,13,196.06905313065772
NaCl,200,2nd,83.96315610264553,7.175717846876873,False,unreach,,,86.49338584268455,2.530229740039019,13,204.38753093854234
NaCl,200,3rd,83.96315610264553,7.175717846876873,True,last_cross,12.0,83.87542267241523,83.87542267241523,-0.08773343023030122,13,189.5014959569752
NaCl,250,1st,142.9161243677675,4.778975486293327,True,last_cross,8.0,127.72186786886193,127.72186786886193,-15.194256498905574,9,223.63154378301905
NaCl,250,2nd,142.9161243677675,4.778975486293327,True,last_cross,7.0,136.75040199131456,136.75040199131456,-6.165722376452948,8,252.07423035335492
NaCl,250,3rd,142.9161243677675,4.778975486293327,True,last_cross,7.0,134.1770458681974,134.1770458681974,-8.739078499570098,8,238.22189823722175
