Material,Target_D50,Trial,theta_poly4,reachable,cross_type,k_star,S_AE_at_k_star,min_S_AE,margin,n_cycles,Measured_D50
Citricacid,20,1st,38.65638203471341,True,last_cross,23.0,36.26458406911584,36.26458406911584,-2.3917979655975685,24,21.272009219441358
Citricacid,20,2nd,38.65638203471341,True,last_cross,28.0,33.956528592172965,33.956528592172965,-4.699853442540444,29,14.075905155711363
Citricacid,20,3rd,38.65638203471341,True,last_cross,26.0,30.385245777751003,30.385245777751003,-8.271136256962407,27,16.87195439981289
Citricacid,50,1st,157.33601467662095,True,last_cross,13.0,136.04917486421658,136.04917486421658,-21.286839812404367,14,46.069932009211314
Citricacid,50,2nd,157.33601467662095,True,last_cross,16.0,115.0393280158252,115.0393280158252,-42.29668666079574,17,31.445636319257012
Citricacid,50,3rd,157.33601467662095,True,last_cross,14.0,147.64047590765298,147.64047590765298,-9.695538768967964,15,37.32884736783548
Citricacid,100,1st,414.8074509124909,True,last_cross,7.0,362.4283409777658,362.4283409777658,-52.37910993472508,8,83.2364100795578
Citricacid,100,2nd,414.8074509124909,True,last_cross,7.0,398.2921123969994,398.2921123969994,-16.515338515491464,8,100.21029022100892
Citricacid,100,3rd,414.8074509124909,True,last_cross,7.0,396.3997998335549,396.3997998335549,-18.407651078936,8,111.58273301475734
MSG,50,1st,400.8529113417937,True,earlier_cross,22.0,385.8854347971261,338.63703961662355,-62.21587172517013,25,53.10830157465986
MSG,50,2nd,400.8529113417937,True,last_cross,19.0,385.2387908873467,370.0773370472001,-30.775574294593582,25,54.937551801733015
MSG,50,3rd,400.8529113417937,True,last_cross,27.0,351.6801200310383,351.6801200310383,-49.17279131075537,28,50.079034369876375
MSG,100,1st,601.2634984973467,False,unreach,,,607.0577192961571,5.794220798810329,12,129.25126539829577
MSG,100,2nd,601.2634984973467,False,unreach,,,605.4434730808151,4.179974583468379,12,124.92381711475167
MSG,100,3rd,601.2634984973467,True,last_cross,11.0,576.8193733577356,576.8193733577356,-24.444125139611174,12,123.9249330540139
MSG,200,1st,1092.9137995643057,True,last_cross,8.0,920.294605909186,920.294605909186,-172.61919365511972,9,179.5878697069383
MSG,200,2nd,1092.9137995643057,True,last_cross,7.0,934.4885327213892,934.4885327213892,-158.42526684291647,8,203.29037689684492
MSG,200,3rd,1092.9137995643057,True,last_cross,7.0,1041.9887066319602,1041.9887066319602,-50.92509293234548,8,189.03287160734268
NaCl,150,1st,48.198674485734955,True,last_cross,19.0,46.36089741868371,46.36089741868371,-1.8377770670512419,20,133.36230240096396
NaCl,150,2nd,48.198674485734955,True,earlier_cross,22.0,47.29197865675549,43.95892358010045,-4.2397509056345015,24,123.80627634317088
NaCl,150,3rd,48.198674485734955,True,last_cross,21.0,43.90811744380238,43.90811744380238,-4.290557041932573,22,139.81226652875748
NaCl,200,1st,84.37022227736941,False,unreach,,,86.1435716372302,1.773349359860788,13,196.06905313065772
NaCl,200,2nd,84.37022227736941,False,unreach,,,86.49338584268455,2.1231635653151386,13,204.38753093854234
NaCl,200,3rd,84.37022227736941,True,last_cross,12.0,83.87542267241523,83.87542267241523,-0.4947996049541814,13,189.5014959569752
NaCl,250,1st,144.43585826092055,True,last_cross,8.0,127.72186786886193,127.72186786886193,-16.71399039205862,9,223.63154378301905
NaCl,250,2nd,144.43585826092055,True,last_cross,7.0,136.75040199131456,136.75040199131456,-7.685456269605993,8,252.07423035335492
NaCl,250,3rd,144.43585826092055,True,last_cross,7.0,134.1770458681974,134.1770458681974,-10.258812392723144,8,238.22189823722175
