Material,Target_D50,Trial,theta_mono,reachable,cross_type,k_star,S_AE_at_k_star,min_S_AE,margin,n_cycles,Measured_D50
Citricacid,20,1st,28.260818615916545,False,unreach,,,36.26458406911584,8.003765453199296,24,21.272009219441358
Citricacid,20,2nd,28.260818615916545,False,unreach,,,33.95652859217297,5.695709976256428,29,14.075905155711363
Citricacid,20,3rd,28.260818615916545,False,unreach,,,30.385245777751003,2.1244271618344577,27,16.87195439981289
Citricacid,50,1st,166.3050928815978,True,earlier_cross,12.0,164.14628009582,136.04917486421658,-30.25591801738122,14,46.069932009211314
Citricacid,50,2nd,166.3050928815978,True,earlier_cross,15.0,160.0785429536906,115.0393280158252,-51.265764865772596,17,31.445636319257012
Citricacid,50,3rd,166.3050928815978,True,earlier_cross,13.0,157.5458612958005,147.64047590765298,-18.664616973944817,15,37.32884736783548
Citricacid,100,1st,428.0249898813091,True,last_cross,7.0,362.4283409777659,362.4283409777659,-65.59664890354321,8,83.2364100795578
Citricacid,100,2nd,428.0249898813091,True,last_cross,7.0,398.2921123969995,398.2921123969995,-29.732877484309597,8,100.21029022100892
Citricacid,100,3rd,428.0249898813091,True,last_cross,7.0,396.3997998335549,396.3997998335549,-31.625190047754245,8,111.58273301475734
MSG,50,1st,368.2933495048489,True,last_cross,24.0,338.63703961662355,338.63703961662355,-29.656309888225337,25,53.10830157465986
MSG,50,2nd,368.2933495048489,False,unreach,,,370.07733704720016,1.7839875423512694,25,54.937551801733015
MSG,50,3rd,368.2933495048489,True,last_cross,27.0,351.6801200310383,351.6801200310383,-16.613229473810577,28,50.079034369876375
MSG,100,1st,626.1226247197166,True,last_cross,11.0,607.0577192961571,607.0577192961571,-19.06490542355948,12,129.25126539829577
MSG,100,2nd,626.1226247197166,True,last_cross,11.0,605.4434730808151,605.4434730808151,-20.67915163890143,12,124.92381711475167
MSG,100,3rd,626.1226247197166,True,last_cross,11.0,576.8193733577356,576.8193733577356,-49.30325136198098,12,123.9249330540139
MSG,200,1st,1047.029760698374,True,last_cross,8.0,920.2946059091862,920.2946059091862,-126.73515478918785,9,179.5878697069383
MSG,200,2nd,1047.029760698374,True,last_cross,7.0,934.4885327213893,934.4885327213893,-112.54122797698471,8,203.29037689684492
MSG,200,3rd,1047.029760698374,True,last_cross,7.0,1041.9887066319604,1041.9887066319604,-5.041054066413608,8,189.03287160734268
NaCl,150,1st,53.23777899716891,True,earlier_cross,15.0,51.765611754954364,46.36089741868372,-6.8768815784851896,20,133.36230240096396
NaCl,150,2nd,53.23777899716891,True,earlier_cross,21.0,50.06629996376033,43.95892358010045,-9.278855417068456,24,123.80627634317088
NaCl,150,3rd,53.23777899716891,True,earlier_cross,18.0,53.12161387338632,43.90811744380239,-9.32966155336652,22,139.81226652875748
NaCl,200,1st,89.29416229877047,True,last_cross,12.0,86.14357163723021,86.14357163723021,-3.1505906615402637,13,196.06905313065772
NaCl,200,2nd,89.29416229877047,True,last_cross,12.0,86.49338584268455,86.49338584268455,-2.800776456085927,13,204.38753093854234
NaCl,200,3rd,89.29416229877047,True,last_cross,12.0,83.87542267241523,83.87542267241523,-5.418739626355247,13,189.5014959569752
NaCl,250,1st,143.87166201460207,True,last_cross,8.0,127.72186786886195,127.72186786886195,-16.149794145740117,9,223.63154378301905
NaCl,250,2nd,143.87166201460207,True,last_cross,7.0,136.7504019913146,136.7504019913146,-7.121260023287476,8,252.07423035335492
NaCl,250,3rd,143.87166201460207,True,last_cross,7.0,134.17704586819744,134.17704586819744,-9.694616146404627,8,238.22189823722175
