method,direction,reagent,r_squared,weight_method,model_path
isotonic_pchip,particle2ae,Citricacid,0.9911442364440931,none,results/isotonic_pchip_model_particle2ae_Citricacid_exp2.joblib
weighted_isotonic_pchip,particle2ae,Citricacid,0.9903966214923539,knn,results/weighted_isotonic_pchip_model_particle2ae_Citricacid_exp2.joblib
isotonic_pchip,ae2particle,Citricacid,0.9934705513816483,none,results/isotonic_pchip_model_ae2particle_Citricacid_exp2.joblib
weighted_isotonic_pchip,ae2particle,Citricacid,0.9934623905735803,knn,results/weighted_isotonic_pchip_model_ae2particle_Citricacid_exp2.joblib
isotonic_pchip,particle2ae,MSG,0.9833630670174497,none,results/isotonic_pchip_model_particle2ae_MSG_exp2.joblib
weighted_isotonic_pchip,particle2ae,MSG,0.9833410411340572,knn,results/weighted_isotonic_pchip_model_particle2ae_MSG_exp2.joblib
isotonic_pchip,ae2particle,MSG,0.9983751485613857,none,results/isotonic_pchip_model_ae2particle_MSG_exp2.joblib
weighted_isotonic_pchip,ae2particle,MSG,0.9983496882172439,knn,results/weighted_isotonic_pchip_model_ae2particle_MSG_exp2.joblib
isotonic_pchip,particle2ae,NaCl,0.9726487706816933,none,results/isotonic_pchip_model_particle2ae_NaCl_exp2.joblib
weighted_isotonic_pchip,particle2ae,NaCl,0.9725083019465655,knn,results/weighted_isotonic_pchip_model_particle2ae_NaCl_exp2.joblib
isotonic_pchip,ae2particle,NaCl,0.9908021962612631,none,results/isotonic_pchip_model_ae2particle_NaCl_exp2.joblib
weighted_isotonic_pchip,ae2particle,NaCl,0.9896654782977603,knn,results/weighted_isotonic_pchip_model_ae2particle_NaCl_exp2.joblib
